Transaction_ID,Customer_ID,Monthly_Expenditure,Income_Level,Spending_Category,Saving_Behavior,Credit_Score,Loan_Status,Loan_Amount,Customer_Feedback,Complaint_Type,Transaction_Channel,Location,Time_Of_Day,sentiment_score,sentiment_label,dominant_topic,topic_name,Income_encoded,Saving_encoded,Loan_encoded,Time_encoded,Channel_encoded,cluster_kmeans,cluster_dbscan,cluster_hierarchical,cluster_gmm,cluster_final,cluster_name
29,97997,166156.07,Middle,Utilities,Good,576.0,No Loan,0.0,Loan process takes too long,Charges Issue,USSD,Kaduna,Evening,0.0,Neutral,0,Technical_Issues,2,2,0,1,2,1,-1,0,1,0,Segment 0
30,33728,103634.74,Low,Groceries,Average,684.0,No Loan,0.0,Loan process takes too long,Technical Issue,Web,Ibadan,Morning,0.0,Neutral,0,Technical_Issues,0,1,0,2,3,3,-1,0,1,0,Segment 0
31,93079,199329.3,Lower-Middle,Groceries,Poor,520.0,Active Loan,0.0,Customer service is slow to respond,Technical Issue,Web,Abuja,Morning,0.0,Neutral,3,General_Feedback,1,0,1,2,3,3,-1,0,1,0,Segment 0
32,14195,163497.21,Low,Health,Poor,705.0,No Loan,4323346.06,I need better support,Technical Issue,Web,Ibadan,Evening,0.6808,Positive,2,Charges_Complaints,0,0,0,1,3,3,-1,0,1,0,Segment 0
33,12428,159029.39,Upper-Middle,Utilities,Average,604.0,Active Loan,1306994.3,Overall experience is great,Charges Issue,USSD,Abuja,Morning,0.6249,Positive,2,Charges_Complaints,3,1,1,2,2,1,-1,0,1,0,Segment 0
34,18028,132668.77,Upper-Middle,Entertainment,Average,605.0,Active Loan,0.0,Customer service is slow to respond,No_Complaint,POS,Enugu,Night,0.0,Neutral,3,General_Feedback,3,1,1,3,1,3,-1,0,3,0,Segment 0
35,13252,217393.97,Lower-Middle,Entertainment,Average,647.0,Active Loan,0.0,Very satisfied with the platform,No_Complaint,USSD,Kano,Morning,0.4754,Positive,3,General_Feedback,1,1,1,2,2,3,-1,0,3,0,Segment 0
36,27766,95465.42,Low,Utilities,Average,669.0,No Loan,0.0,Overall experience is great,No_Complaint,Mobile App,Kaduna,Night,0.6249,Positive,2,Charges_Complaints,0,1,0,3,0,1,23,0,1,0,Segment 0
37,21894,170177.15,Middle,Groceries,Good,589.0,Active Loan,3544035.53,Charges are confusing and unclear,No_Complaint,USSD,Kaduna,Morning,-0.6124,Negative,3,General_Feedback,2,2,1,2,2,1,-1,0,1,0,Segment 0
38,77874,152516.89,Low,Health,Good,694.0,No Loan,4537399.91,Overall experience is great,General Feedback,POS,Kaduna,Morning,0.6249,Positive,2,Charges_Complaints,0,2,0,2,1,1,-1,0,1,0,Segment 0
39,65265,87993.74,Low,Groceries,Average,657.0,No Loan,0.0,Loan process takes too long,Technical Issue,Web,Kano,Afternoon,0.0,Neutral,0,Technical_Issues,0,1,0,0,3,3,-1,0,1,0,Segment 0
40,92508,145479.91,Low,Utilities,Poor,558.0,Active Loan,0.0,I need better support,No_Complaint,Mobile App,Enugu,Afternoon,0.6808,Positive,2,Charges_Complaints,0,0,1,0,0,1,-1,0,2,0,Segment 0
41,30355,93228.06,Middle,Rent,Average,661.0,No Loan,1353809.08,Customer service is slow to respond,General Feedback,POS,Kano,Night,0.0,Neutral,3,General_Feedback,2,1,0,3,1,1,2,0,2,0,Segment 0
42,22394,272425.92,Lower-Middle,Entertainment,Average,700.0,Active Loan,0.0,The service is excellent,No_Complaint,USSD,Kano,Afternoon,0.5719,Positive,3,General_Feedback,1,1,1,0,2,3,-1,0,3,0,Segment 0
43,78160,210955.02,Lower-Middle,Utilities,Average,604.0,No Loan,530172.29,Payment failed multiple times,No_Complaint,USSD,Port Harcourt,Morning,-0.5106,Negative,1,Loan_Concerns,1,1,0,2,2,1,-1,0,1,0,Segment 0
44,76978,51972.71,Lower-Middle,Groceries,Average,620.0,No Loan,0.0,Customer service is slow to respond,General Feedback,Mobile App,Kano,Afternoon,0.0,Neutral,3,General_Feedback,1,1,0,0,0,1,-1,0,1,0,Segment 0
45,84554,122964.08,Middle,Utilities,Average,610.0,Active Loan,0.0,App keeps crashing during payments,No_Complaint,POS,Ibadan,Evening,0.0,Neutral,2,Charges_Complaints,2,1,1,1,1,1,3,0,1,0,Segment 0
46,19610,186575.42,Lower-Middle,Entertainment,Good,637.0,No Loan,0.0,Customer service is slow to respond,General Feedback,USSD,Kano,Night,0.0,Neutral,3,General_Feedback,1,2,0,3,2,3,-1,0,3,0,Segment 0
47,89565,220424.66,Upper-Middle,Transport,Poor,617.0,No Loan,0.0,Overall experience is great,General Feedback,Mobile App,Kano,Afternoon,0.6249,Positive,2,Charges_Complaints,3,0,0,0,0,1,-1,0,0,0,Segment 0
48,33012,202308.88,Middle,Utilities,Average,674.0,Active Loan,1315887.65,Transaction was fast and smooth,Technical Issue,USSD,Kano,Night,0.0,Neutral,1,Loan_Concerns,2,1,1,3,2,3,-1,0,1,0,Segment 0
49,25631,264283.41,Upper-Middle,Health,Average,715.0,No Loan,4662435.94,Loan process takes too long,Technical Issue,POS,Abuja,Morning,0.0,Neutral,0,Technical_Issues,3,1,0,2,1,3,-1,0,1,0,Segment 0
50,99067,158009.47,Low,Rent,Average,589.0,No Loan,0.0,App keeps crashing during payments,No_Complaint,Web,Kaduna,Morning,0.0,Neutral,2,Charges_Complaints,0,1,0,2,3,1,12,0,2,0,Segment 0
51,63659,226910.63,Upper-Middle,Transport,Good,621.0,No Loan,0.0,Overall experience is great,Loan Issue,Mobile App,Ibadan,Afternoon,0.6249,Positive,2,Charges_Complaints,3,2,0,0,0,0,-1,1,0,1,Digital-First
52,85517,80448.79,Lower-Middle,Online Shopping,Average,749.0,No Loan,0.0,Overall experience is great,Charges Issue,POS,Ibadan,Evening,0.6249,Positive,2,Charges_Complaints,1,1,0,1,1,1,-1,3,0,3,Segment 3
53,67324,202230.11,Middle,Online Shopping,Poor,684.0,Active Loan,3643653.61,Transaction was fast and smooth,Charges Issue,Mobile App,Kaduna,Afternoon,0.0,Neutral,1,Loan_Concerns,2,0,1,0,0,1,-1,3,0,3,Segment 3
54,40878,137421.88,High,Savings Deposit,Poor,763.0,Active Loan,4100975.61,Payment failed multiple times,No_Complaint,USSD,Enugu,Morning,-0.5106,Negative,1,Loan_Concerns,4,0,1,2,2,2,-1,2,2,2,Digital-First
55,70596,141199.72,Low,Education,Average,682.0,No Loan,0.0,I don't understand my loan deductions,General Feedback,Mobile App,Ibadan,Night,0.0,Neutral,1,Loan_Concerns,0,1,0,3,0,1,-1,0,1,0,Segment 0
56,34134,232835.47,High,Utilities,Average,470.0,No Loan,1564719.44,Charges are confusing and unclear,No_Complaint,Web,Lagos,Evening,-0.6124,Negative,3,General_Feedback,4,1,0,1,3,1,-1,0,2,0,Segment 0
57,27773,208118.33,Middle,Savings Deposit,Average,521.0,Default Risk,0.0,Payment failed multiple times,No_Complaint,USSD,Port Harcourt,Morning,-0.5106,Negative,1,Loan_Concerns,2,1,2,2,2,2,-1,2,1,2,Digital-First
58,54186,139912.25,Upper-Middle,Online Shopping,Average,691.0,No Loan,1637613.31,Charges are confusing and unclear,No_Complaint,Web,Abuja,Night,-0.6124,Negative,3,General_Feedback,3,1,0,3,3,1,-1,3,0,3,Segment 3
59,86496,303133.81,Middle,Online Shopping,Good,621.0,No Loan,1642222.79,I need better support,No_Complaint,POS,Kano,Evening,0.6808,Positive,2,Charges_Complaints,2,2,0,1,1,1,-1,3,0,3,Segment 3
60,13316,225529.78,Middle,Education,Good,761.0,No Loan,4058878.51,Very satisfied with the platform,No_Complaint,POS,Ibadan,Morning,0.4754,Positive,3,General_Feedback,2,2,0,2,1,1,-1,0,1,0,Segment 0
61,30839,123493.84,Low,Groceries,Poor,630.0,No Loan,0.0,I need better support,General Feedback,Mobile App,Port Harcourt,Evening,0.6808,Positive,2,Charges_Complaints,0,0,0,1,0,1,-1,0,1,0,Segment 0
62,38619,20000.0,Middle,Groceries,Poor,759.0,Active Loan,67947.65,Payment failed multiple times,General Feedback,Web,Port Harcourt,Evening,-0.5106,Negative,1,Loan_Concerns,2,0,1,1,3,1,-1,0,1,0,Segment 0
63,60102,166668.72,Middle,Health,Good,764.0,No Loan,2693967.63,App keeps crashing during payments,General Feedback,Mobile App,Kano,Morning,0.0,Neutral,2,Charges_Complaints,2,2,0,2,0,1,-1,0,1,0,Segment 0
64,60305,126536.69,Low,Entertainment,Good,613.0,No Loan,1729634.67,Very satisfied with the platform,Charges Issue,USSD,Kano,Night,0.4754,Positive,3,General_Feedback,0,2,0,3,2,3,-1,0,3,0,Segment 0
65,18747,112407.68,Low,Online Shopping,Poor,621.0,No Loan,2929936.06,I don't understand my loan deductions,General Feedback,POS,Lagos,Evening,0.0,Neutral,1,Loan_Concerns,0,0,0,1,1,1,-1,3,0,3,Segment 3
66,46026,120263.27,Lower-Middle,Health,Good,621.0,No Loan,0.0,The interface is confusing,Technical Issue,Mobile App,Port Harcourt,Afternoon,-0.2263,Negative,3,General_Feedback,1,2,0,0,0,3,-1,0,1,0,Segment 0
67,84423,159187.88,Lower-Middle,Savings Deposit,Good,621.0,No Loan,0.0,I need better support,Technical Issue,POS,Kano,Night,0.6808,Positive,2,Charges_Complaints,1,2,0,3,1,2,-1,2,1,2,Digital-First
68,74025,228894.75,Upper-Middle,Utilities,Average,621.0,No Loan,759326.24,Customer service is slow to respond,No_Complaint,Web,Port Harcourt,Evening,0.0,Neutral,3,General_Feedback,3,1,0,1,3,1,-1,0,1,0,Segment 0
69,16578,91180.91,Middle,Groceries,Average,643.0,No Loan,0.0,Customer service is slow to respond,General Feedback,POS,Enugu,Night,0.0,Neutral,3,General_Feedback,2,1,0,3,1,1,-1,0,2,0,Segment 0
70,52964,145777.18,Low,Utilities,Poor,682.0,Active Loan,448712.94,Overall experience is great,General Feedback,POS,Lagos,Evening,0.6249,Positive,2,Charges_Complaints,0,0,1,1,1,1,-1,0,2,0,Segment 0
71,83528,137894.93,Low,Rent,Average,634.0,Active Loan,1190061.9,Payment failed multiple times,General Feedback,USSD,Kano,Afternoon,-0.5106,Negative,1,Loan_Concerns,0,1,1,0,2,1,2,0,2,0,Segment 0
72,80162,100573.59,Lower-Middle,Education,Poor,601.0,Default Risk,840774.55,Charges are confusing and unclear,General Feedback,USSD,Kaduna,Afternoon,-0.6124,Negative,3,General_Feedback,1,0,2,0,2,1,-1,0,1,0,Segment 0
73,19729,166877.75,Middle,Online Shopping,Average,786.0,No Loan,0.0,Customer service is slow to respond,General Feedback,POS,Kaduna,Morning,0.0,Neutral,3,General_Feedback,2,1,0,2,1,1,-1,3,0,3,Segment 3
74,89923,256326.68,Lower-Middle,Savings Deposit,Poor,713.0,No Loan,0.0,Transaction was fast and smooth,General Feedback,Mobile App,Port Harcourt,Morning,0.0,Neutral,1,Loan_Concerns,1,0,0,2,0,2,-1,2,1,2,Digital-First
75,42629,186970.72,Lower-Middle,Utilities,Good,732.0,No Loan,4410800.35,I don't understand my loan deductions,Technical Issue,Mobile App,Abuja,Night,0.0,Neutral,1,Loan_Concerns,1,2,0,3,0,3,-1,0,1,0,Segment 0
76,99833,154266.84,Low,Groceries,Average,640.0,No Loan,0.0,Loan process takes too long,Charges Issue,USSD,Enugu,Morning,0.0,Neutral,0,Technical_Issues,0,1,0,2,2,1,-1,0,2,0,Segment 0
77,66376,123673.07,Lower-Middle,Education,Average,737.0,No Loan,0.0,Overall experience is great,Technical Issue,POS,Port Harcourt,Morning,0.6249,Positive,2,Charges_Complaints,1,1,0,2,1,3,-1,0,1,0,Segment 0
78,36587,152807.24,Low,Groceries,Average,751.0,No Loan,3498383.98,App keeps crashing during payments,General Feedback,Web,Abuja,Afternoon,0.0,Neutral,2,Charges_Complaints,0,1,0,0,3,1,-1,0,1,0,Segment 0
79,18534,46947.42,Lower-Middle,Entertainment,Good,485.0,No Loan,3020701.31,Transaction was fast and smooth,Loan Issue,Web,Kaduna,Morning,0.0,Neutral,1,Loan_Concerns,1,2,0,2,3,0,-1,1,3,1,Digital-First
80,74579,146389.32,Low,Education,Poor,649.0,No Loan,0.0,App keeps crashing during payments,No_Complaint,Mobile App,Ibadan,Night,0.0,Neutral,2,Charges_Complaints,0,0,0,3,0,1,-1,0,1,0,Segment 0
81,61861,138402.01,Lower-Middle,Online Shopping,Good,641.0,Active Loan,0.0,I don't understand my loan deductions,General Feedback,Mobile App,Port Harcourt,Morning,0.0,Neutral,1,Loan_Concerns,1,2,1,2,0,1,-1,3,0,3,Segment 3
82,78057,178641.17,Middle,Entertainment,Poor,607.0,No Loan,0.0,Overall experience is great,Loan Issue,Mobile App,Ibadan,Afternoon,0.6249,Positive,2,Charges_Complaints,2,0,0,0,0,0,-1,1,3,1,Digital-First
83,19705,206910.28,Lower-Middle,Utilities,Good,603.0,No Loan,4152079.86,Very satisfied with the platform,General Feedback,USSD,Kano,Morning,0.4754,Positive,3,General_Feedback,1,2,0,2,2,1,-1,0,1,0,Segment 0
84,15474,194719.77,Middle,Utilities,Average,637.0,Active Loan,4400907.2,The interface is confusing,No_Complaint,USSD,Ibadan,Afternoon,-0.2263,Negative,3,General_Feedback,2,1,1,0,2,1,-1,0,1,0,Segment 0
85,81563,142083.77,Middle,Transport,Average,711.0,Default Risk,1258925.02,I need better support,General Feedback,POS,Kano,Morning,0.6808,Positive,2,Charges_Complaints,2,1,2,2,1,1,-1,0,0,0,Segment 0
86,39427,118955.44,Middle,Online Shopping,Average,581.0,No Loan,0.0,Loan process takes too long,General Feedback,USSD,Kano,Morning,0.0,Neutral,0,Technical_Issues,2,1,0,2,2,1,4,3,0,3,Segment 3
87,37640,112356.42,Lower-Middle,Utilities,Poor,563.0,No Loan,0.0,Customer service is slow to respond,General Feedback,Mobile App,Kano,Evening,0.0,Neutral,3,General_Feedback,1,0,0,1,0,1,-1,0,1,0,Segment 0
88,19438,103097.65,Upper-Middle,Entertainment,Poor,687.0,No Loan,1306594.78,Payment failed multiple times,No_Complaint,Mobile App,Enugu,Afternoon,-0.5106,Negative,1,Loan_Concerns,3,0,0,0,0,3,-1,0,3,0,Segment 0
89,90137,113096.11,Upper-Middle,Online Shopping,Average,610.0,No Loan,0.0,Transaction was fast and smooth,Charges Issue,POS,Kano,Evening,0.0,Neutral,1,Loan_Concerns,3,1,0,1,1,1,4,3,0,3,Segment 3
90,27495,142612.35,Middle,Transport,Poor,559.0,No Loan,975843.08,Overall experience is great,No_Complaint,Mobile App,Kaduna,Night,0.6249,Positive,2,Charges_Complaints,2,0,0,3,0,1,-1,0,0,0,Segment 0
91,57078,76784.88,Low,Savings Deposit,Good,642.0,No Loan,2305339.02,Charges are confusing and unclear,Technical Issue,Mobile App,Kano,Night,-0.6124,Negative,3,General_Feedback,0,2,0,3,0,2,-1,2,1,2,Digital-First
92,70281,176593.72,Low,Utilities,Poor,596.0,Active Loan,2311083.65,The interface is confusing,Technical Issue,Mobile App,Port Harcourt,Night,-0.2263,Negative,3,General_Feedback,0,0,1,3,0,3,-1,0,1,0,Segment 0
93,43990,143489.57,Middle,Health,Poor,747.0,Active Loan,0.0,The service is excellent,Loan Issue,POS,Port Harcourt,Evening,0.5719,Positive,3,General_Feedback,2,0,1,1,1,0,-1,1,1,1,Digital-First
94,49052,99906.86,Low,Rent,Average,555.0,No Loan,0.0,I don't understand my loan deductions,Loan Issue,Web,Port Harcourt,Morning,0.0,Neutral,1,Loan_Concerns,0,1,0,2,3,0,-1,1,2,1,Digital-First
95,45355,111592.22,High,Online Shopping,Average,450.0,Active Loan,0.0,Very satisfied with the platform,No_Complaint,POS,Port Harcourt,Morning,0.4754,Positive,3,General_Feedback,4,1,1,2,1,1,-1,3,0,3,Segment 3
96,86582,200334.61,Low,Entertainment,Good,614.0,Active Loan,3388159.32,Loan process takes too long,General Feedback,Web,Ibadan,Night,0.0,Neutral,0,Technical_Issues,0,2,1,3,3,3,-1,0,3,0,Segment 0
97,50337,204249.2,Lower-Middle,Rent,Good,635.0,Active Loan,0.0,The service is excellent,General Feedback,Mobile App,Port Harcourt,Afternoon,0.5719,Positive,3,General_Feedback,1,2,1,0,0,1,-1,0,2,0,Segment 0
98,22221,293323.28,Low,Groceries,Poor,583.0,Active Loan,0.0,Overall experience is great,No_Complaint,USSD,Kano,Night,0.6249,Positive,2,Charges_Complaints,0,0,1,3,2,1,-1,0,1,0,Segment 0
99,61054,184027.37,Middle,Transport,Good,837.0,Active Loan,0.0,Overall experience is great,Loan Issue,POS,Ibadan,Night,0.6249,Positive,2,Charges_Complaints,2,2,1,3,1,0,-1,1,0,1,Digital-First
100,30298,109463.69,Middle,Transport,Poor,542.0,No Loan,1938921.38,Customer service is slow to respond,Technical Issue,POS,Abuja,Night,0.0,Neutral,3,General_Feedback,2,0,0,3,1,3,-1,0,0,0,Segment 0
101,95620,106731.25,Middle,Savings Deposit,Poor,498.0,No Loan,2623450.79,Payment failed multiple times,General Feedback,POS,Enugu,Afternoon,-0.5106,Negative,1,Loan_Concerns,2,0,0,0,1,2,-1,2,2,2,Digital-First
102,78399,173349.13,Lower-Middle,Education,Poor,629.0,Default Risk,1155184.09,Transaction was fast and smooth,Charges Issue,POS,Ibadan,Morning,0.0,Neutral,1,Loan_Concerns,1,0,2,2,1,1,-1,0,1,0,Segment 0
103,55072,198338.2,Lower-Middle,Education,Poor,577.0,No Loan,0.0,The service is excellent,Charges Issue,Mobile App,Kaduna,Night,0.5719,Positive,3,General_Feedback,1,0,0,3,0,1,0,0,1,0,Segment 0
104,44437,234464.79,Lower-Middle,Savings Deposit,Average,690.0,No Loan,2101573.44,Very satisfied with the platform,No_Complaint,Web,Abuja,Night,0.4754,Positive,3,General_Feedback,1,1,0,3,3,2,-1,2,1,2,Digital-First
105,19325,97546.44,Lower-Middle,Rent,Good,740.0,Active Loan,0.0,I need better support,Loan Issue,POS,Kaduna,Evening,0.6808,Positive,2,Charges_Complaints,1,2,1,1,1,0,-1,1,2,1,Digital-First
106,14142,156058.78,Middle,Transport,Good,522.0,Active Loan,4273351.97,Overall experience is great,Technical Issue,POS,Abuja,Night,0.6249,Positive,2,Charges_Complaints,2,2,1,3,1,3,-1,0,0,0,Segment 0
107,62539,80304.45,Middle,Savings Deposit,Poor,483.0,No Loan,1846987.96,Very satisfied with the platform,No_Complaint,Web,Ibadan,Afternoon,0.4754,Positive,3,General_Feedback,2,0,0,0,3,2,-1,2,1,2,Digital-First
108,24632,172792.48,Middle,Savings Deposit,Good,462.0,No Loan,958725.45,Overall experience is great,No_Complaint,Mobile App,Lagos,Morning,0.6249,Positive,2,Charges_Complaints,2,2,0,2,0,2,-1,2,2,2,Digital-First
109,54333,89196.13,Upper-Middle,Rent,Average,699.0,No Loan,1228349.11,App keeps crashing during payments,General Feedback,Mobile App,Kaduna,Evening,0.0,Neutral,2,Charges_Complaints,3,1,0,1,0,1,-1,0,2,0,Segment 0
110,73232,237316.46,Middle,Transport,Poor,713.0,No Loan,0.0,Loan process takes too long,No_Complaint,USSD,Abuja,Afternoon,0.0,Neutral,0,Technical_Issues,2,0,0,0,2,1,-1,0,0,0,Segment 0
111,52403,103319.06,Low,Health,Good,483.0,No Loan,0.0,App keeps crashing during payments,No_Complaint,POS,Kano,Morning,0.0,Neutral,2,Charges_Complaints,0,2,0,2,1,1,-1,0,1,0,Segment 0
112,13997,186548.02,Lower-Middle,Utilities,Good,553.0,Active Loan,0.0,Very satisfied with the platform,Charges Issue,Mobile App,Port Harcourt,Night,0.4754,Positive,3,General_Feedback,1,2,1,3,0,1,-1,0,1,0,Segment 0
113,27363,159067.75,Lower-Middle,Rent,Poor,394.0,Default Risk,0.0,The service is excellent,Charges Issue,Web,Abuja,Evening,0.5719,Positive,3,General_Feedback,1,0,2,1,3,1,-1,0,2,0,Segment 0
114,35412,152945.08,Low,Utilities,Average,545.0,No Loan,985253.57,Payment failed multiple times,Technical Issue,USSD,Abuja,Morning,-0.5106,Negative,1,Loan_Concerns,0,1,0,2,2,3,-1,0,1,0,Segment 0
115,36684,41743.6,Lower-Middle,Utilities,Average,689.0,Active Loan,0.0,Charges are confusing and unclear,Loan Issue,Mobile App,Abuja,Night,-0.6124,Negative,3,General_Feedback,1,1,1,3,0,0,-1,1,1,1,Digital-First
116,10321,144533.83,Lower-Middle,Transport,Good,764.0,No Loan,3312791.69,Customer service is slow to respond,General Feedback,USSD,Kano,Night,0.0,Neutral,3,General_Feedback,1,2,0,3,2,1,-1,0,0,0,Segment 0
117,63108,91226.95,Low,Entertainment,Good,611.0,Active Loan,0.0,Charges are confusing and unclear,No_Complaint,POS,Ibadan,Night,-0.6124,Negative,3,General_Feedback,0,2,1,3,1,3,-1,0,3,0,Segment 0
118,47630,114900.0,Middle,Transport,Good,703.0,Default Risk,4027478.79,Payment failed multiple times,No_Complaint,Mobile App,Ibadan,Afternoon,-0.5106,Negative,1,Loan_Concerns,2,2,2,0,0,1,-1,0,0,0,Segment 0
