Transaction_ID,Customer_ID,Monthly_Expenditure,Income_Level,Spending_Category,Saving_Behavior,Credit_Score,Loan_Status,Loan_Amount,Customer_Feedback,Complaint_Type,Transaction_Channel,Location,Time_Of_Day
44,76978,51972.71,Lower-Middle,Groceries,Average,620,No Loan,0,Customer service is slow to respond,General Feedback,Mobile App,Kano,Afternoon
45,84554,122964.08,Middle,Utilities,Average,610,Active Loan,0,App keeps crashing during payments,None,POS,Ibadan,Evening
46,19610,186575.42,Lower-Middle,Entertainment,Good,637,No Loan,0,Customer service is slow to respond,General Feedback,USSD,Kano,Night
47,89565,220424.66,Upper-Middle,Transport,Poor,617,No Loan,0,Overall experience is great,General Feedback,Mobile App,Kano,Afternoon
48,33012,202308.88,Middle,Utilities,Average,674,Active Loan,1315887.65,Transaction was fast and smooth,Technical Issue,USSD,Kano,Night
49,25631,264283.41,Upper-Middle,Health,Average,715,No Loan,4662435.94,Loan process takes too long,Technical Issue,POS,Abuja,Morning
50,99067,158009.47,Low,Rent,Average,589,No Loan,0,App keeps crashing during payments,None,Web,Kaduna,Morning
51,63659,226910.63,Upper-Middle,Transport,Good,621,No Loan,0,Overall experience is great,Loan Issue,Mobile App,Ibadan,Afternoon
52,85517,80448.79,Lower-Middle,Online Shopping,Average,749,No Loan,0,Overall experience is great,Charges Issue,POS,Ibadan,Evening
53,67324,202230.11,Middle,Online Shopping,Poor,684,Active Loan,3643653.61,Transaction was fast and smooth,Charges Issue,Mobile App,Kaduna,Afternoon
54,40878,137421.88,High,Savings Deposit,Poor,763,Active Loan,4100975.61,Payment failed multiple times,None,USSD,Enugu,Morning
55,70596,141199.72,Low,Education,Average,682,No Loan,0,I don't understand my loan deductions,General Feedback,Mobile App,Ibadan,Night
56,34134,232835.47,High,Utilities,Average,470,No Loan,1564719.44,Charges are confusing and unclear,None,Web,Lagos,Evening
57,27773,208118.33,Middle,Savings Deposit,Average,521,Default Risk,0,Payment failed multiple times,None,USSD,Port Harcourt,Morning
58,54186,139912.25,Upper-Middle,Online Shopping,Average,691,No Loan,1637613.31,Charges are confusing and unclear,None,Web,Abuja,Night
59,86496,303133.81,Middle,Online Shopping,Good,621,No Loan,1642222.79,I need better support,None,POS,Kano,Evening
60,13316,225529.78,Middle,Education,Good,761,No Loan,4058878.51,Very satisfied with the platform,None,POS,Ibadan,Morning
61,30839,123493.84,Low,Groceries,Poor,630,No Loan,0,I need better support,General Feedback,Mobile App,Port Harcourt,Evening
62,38619,20000,Middle,Groceries,Poor,759,Active Loan,67947.65,Payment failed multiple times,General Feedback,Web,Port Harcourt,Evening
63,60102,166668.72,Middle,Health,Good,764,No Loan,2693967.63,App keeps crashing during payments,General Feedback,Mobile App,Kano,Morning
64,60305,126536.69,Low,Entertainment,Good,613,No Loan,1729634.67,Very satisfied with the platform,Charges Issue,USSD,Kano,Night
65,18747,112407.68,Low,Online Shopping,Poor,621,No Loan,2929936.06,I don't understand my loan deductions,General Feedback,POS,Lagos,Evening
66,46026,120263.27,Lower-Middle,Health,Good,,No Loan,0,The interface is confusing,Technical Issue,Mobile App,Port Harcourt,Afternoon
67,84423,159187.88,Lower-Middle,Savings Deposit,Good,,No Loan,0,I need better support,Technical Issue,POS,Kano,Night
68,74025,228894.75,Upper-Middle,Utilities,Average,,No Loan,759326.24,Customer service is slow to respond,None,Web,Port Harcourt,Evening
69,16578,91180.91,Middle,Groceries,Average,643,No Loan,0,Customer service is slow to respond,General Feedback,POS,Enugu,Night
70,52964,145777.18,Low,Utilities,Poor,682,Active Loan,448712.94,Overall experience is great,General Feedback,POS,Lagos,Evening
71,83528,137894.93,Low,Rent,Average,634,Active Loan,1190061.9,Payment failed multiple times,General Feedback,USSD,Kano,Afternoon
72,80162,100573.59,Lower-Middle,Education,Poor,601,Default Risk,840774.55,Charges are confusing and unclear,General Feedback,USSD,Kaduna,Afternoon
73,19729,166877.75,Middle,Online Shopping,Average,786,No Loan,0,Customer service is slow to respond,General Feedback,POS,Kaduna,Morning
74,89923,256326.68,Lower-Middle,Savings Deposit,Poor,713,No Loan,0,Transaction was fast and smooth,General Feedback,Mobile App,Port Harcourt,Morning
75,42629,186970.72,Lower-Middle,Utilities,Good,732,No Loan,4410800.35,I don't understand my loan deductions,Technical Issue,Mobile App,Abuja,Night
76,99833,154266.84,Low,Groceries,Average,640,No Loan,0,Loan process takes too long,Charges Issue,USSD,Enugu,Morning
77,66376,123673.07,Lower-Middle,Education,Average,737,No Loan,0,Overall experience is great,Technical Issue,POS,Port Harcourt,Morning
78,36587,152807.24,Low,Groceries,Average,751,No Loan,3498383.98,App keeps crashing during payments,General Feedback,Web,Abuja,Afternoon
79,18534,46947.42,Lower-Middle,Entertainment,Good,485,No Loan,3020701.31,Transaction was fast and smooth,Loan Issue,Web,Kaduna,Morning
80,74579,146389.32,Low,Education,Poor,649,No Loan,0,App keeps crashing during payments,None,Mobile App,Ibadan,Night
81,61861,138402.01,Lower-Middle,Online Shopping,Good,641,Active Loan,0,I don't understand my loan deductions,General Feedback,Mobile App,Port Harcourt,Morning
82,78057,178641.17,Middle,Entertainment,Poor,607,No Loan,0,Overall experience is great,Loan Issue,Mobile App,Ibadan,Afternoon
83,19705,206910.28,Lower-Middle,Utilities,Good,603,No Loan,4152079.86,Very satisfied with the platform,General Feedback,USSD,Kano,Morning
84,15474,194719.77,Middle,Utilities,Average,637,Active Loan,4400907.2,The interface is confusing,None,USSD,Ibadan,Afternoon
85,81563,142083.77,Middle,Transport,Average,711,Default Risk,1258925.02,I need better support,General Feedback,POS,Kano,Morning
86,39427,118955.44,Middle,Online Shopping,Average,581,No Loan,0,Loan process takes too long,General Feedback,USSD,Kano,Morning
87,37640,112356.42,Lower-Middle,Utilities,Poor,563,No Loan,0,Customer service is slow to respond,General Feedback,Mobile App,Kano,Evening
88,19438,103097.65,Upper-Middle,Entertainment,Poor,687,No Loan,1306594.78,Payment failed multiple times,None,Mobile App,Enugu,Afternoon
89,90137,113096.11,Upper-Middle,Online Shopping,Average,610,No Loan,0,Transaction was fast and smooth,Charges Issue,POS,Kano,Evening
90,27495,142612.35,Middle,Transport,Poor,559,No Loan,975843.08,Overall experience is great,None,Mobile App,Kaduna,Night
91,57078,76784.88,Low,Savings Deposit,Good,642,No Loan,2305339.02,Charges are confusing and unclear,Technical Issue,Mobile App,Kano,
92,70281,176593.72,Low,Utilities,Poor,596,Active Loan,2311083.65,The interface is confusing,Technical Issue,Mobile App,Port Harcourt,
93,43990,143489.57,Middle,Health,Poor,747,Active Loan,0,The service is excellent,Loan Issue,POS,Port Harcourt,Evening
94,49052,99906.86,Low,Rent,Average,555,No Loan,0,I don't understand my loan deductions,Loan Issue,Web,Port Harcourt,Morning
95,45355,111592.22,High,Online Shopping,Average,450,Active Loan,0,Very satisfied with the platform,None,POS,Port Harcourt,Morning
96,86582,200334.61,Low,Entertainment,Good,614,Active Loan,3388159.32,Loan process takes too long,General Feedback,Web,Ibadan,Night
97,50337,204249.2,Lower-Middle,Rent,Good,635,Active Loan,0,The service is excellent,General Feedback,Mobile App,Port Harcourt,Afternoon
98,22221,293323.28,Low,Groceries,Poor,583,Active Loan,0,Overall experience is great,None,USSD,Kano,Night
99,61054,184027.37,Middle,Transport,Good,837,Active Loan,0,Overall experience is great,Loan Issue,POS,Ibadan,Night
100,30298,109463.69,Middle,Transport,Poor,542,No Loan,1938921.38,Customer service is slow to respond,Technical Issue,POS,Abuja,Night
101,95620,106731.25,Middle,Savings Deposit,Poor,498,No Loan,2623450.79,Payment failed multiple times,General Feedback,POS,Enugu,Afternoon
102,78399,173349.13,Lower-Middle,Education,Poor,629,Default Risk,1155184.09,Transaction was fast and smooth,Charges Issue,POS,Ibadan,Morning
103,55072,198338.2,Lower-Middle,Education,Poor,577,No Loan,0,The service is excellent,Charges Issue,Mobile App,Kaduna,Night
104,44437,234464.79,Lower-Middle,Savings Deposit,Average,690,No Loan,2101573.44,Very satisfied with the platform,None,Web,Abuja,Night
105,19325,97546.44,Lower-Middle,Rent,Good,740,Active Loan,0,I need better support,Loan Issue,POS,Kaduna,Evening
106,14142,156058.78,Middle,Transport,Good,522,Active Loan,4273351.97,Overall experience is great,Technical Issue,POS,Abuja,Night
107,62539,80304.45,Middle,Savings Deposit,Poor,483,No Loan,1846987.96,Very satisfied with the platform,None,Web,Ibadan,Afternoon
108,24632,172792.48,Middle,Savings Deposit,Good,462,No Loan,958725.45,Overall experience is great,None,Mobile App,Lagos,Morning
109,54333,89196.13,Upper-Middle,Rent,Average,699,No Loan,1228349.11,App keeps crashing during payments,General Feedback,Mobile App,Kaduna,Evening
110,73232,237316.46,Middle,Transport,Poor,713,No Loan,0,Loan process takes too long,None,USSD,Abuja,Afternoon
111,52403,103319.06,Low,Health,Good,483,No Loan,0,App keeps crashing during payments,None,POS,Kano,Morning
112,13997,186548.02,Lower-Middle,Utilities,Good,553,Active Loan,0,Very satisfied with the platform,Charges Issue,Mobile App,Port Harcourt,Night
113,27363,159067.75,Lower-Middle,Rent,Poor,394,Default Risk,0,The service is excellent,Charges Issue,Web,Abuja,Evening
114,35412,152945.08,Low,Utilities,Average,545,No Loan,985253.57,Payment failed multiple times,Technical Issue,USSD,Abuja,Morning
115,36684,41743.6,Lower-Middle,Utilities,Average,689,Active Loan,0,Charges are confusing and unclear,Loan Issue,Mobile App,Abuja,Night
116,10321,144533.83,Lower-Middle,Transport,Good,764,No Loan,3312791.69,Customer service is slow to respond,General Feedback,USSD,Kano,Night
117,63108,91226.95,Low,Entertainment,Good,611,Active Loan,0,Charges are confusing and unclear,None,POS,Ibadan,Night
118,47630,114900,Middle,Transport,Good,703,Default Risk,4027478.79,Payment failed multiple times,,Mobile App,Ibadan,Afternoon
119,93916,179323.26,Middle,Rent,Good,834,Active Loan,864639.01,Overall experience is great,,Web,Abuja,Afternoon
120,84051,313045.72,Middle,Groceries,Average,684,No Loan,0,The interface is confusing,,POS,Ibadan,Evening
121,21911,263892.36,Low,Utilities,Good,593,No Loan,0,Overall experience is great,,Mobile App,Ibadan,Night
122,84726,180998.17,Middle,Transport,Good,588,Default Risk,0,I need better support,General Feedback,USSD,Abuja,Evening
123,73430,173123.57,Lower-Middle,Online Shopping,Average,617,No Loan,3197682.42,Overall experience is great,Technical Issue,Web,Enugu,Evening
124,91037,128949.97,Middle,Health,Good,558,Active Loan,1270364.73,The interface is confusing,Technical Issue,POS,Kano,Morning
125,31868,89937.89,Middle,Education,Average,501,No Loan,4265134.01,Charges are confusing and unclear,None,POS,Port Harcourt,Evening
126,11343,176578.48,Lower-Middle,Utilities,Good,763,Default Risk,995735.64,Overall experience is great,General Feedback,POS,Kano,Morning
127,39012,123333.11,Middle,Groceries,Poor,599,No Loan,0,Transaction was fast and smooth,None,Web,Abuja,Morning
128,99719,255372.35,Lower-Middle,Groceries,Average,452,Active Loan,0,I need better support,None,USSD,Kaduna,Afternoon
129,98560,278783.07,Low,Groceries,Good,502,No Loan,3391741.9,Very satisfied with the platform,None,POS,Kano,Morning
130,28912,278425.25,Middle,Groceries,Average,677,No Loan,0,Charges are confusing and unclear,None,Web,Enugu,Night
131,76937,111870.21,Lower-Middle,Education,Average,517,No Loan,0,I need better support,Loan Issue,Web,Lagos,Afternoon
132,59576,119563.96,Lower-Middle,Groceries,Poor,735,No Loan,0,App keeps crashing during payments,Technical Issue,USSD,Port Harcourt,Morning
133,58600,77344.87,Lower-Middle,Savings Deposit,Good,478,No Loan,0,Loan process takes too long,None,POS,Port Harcourt,Afternoon
134,57988,188903.88,Lower-Middle,Online Shopping,Good,708,Active Loan,0,Charges are confusing and unclear,Technical Issue,POS,Port Harcourt,Afternoon
135,37386,98709.86,Lower-Middle,Entertainment,Good,617,No Loan,3726435.69,Transaction was fast and smooth,Technical Issue,Web,Abuja,Morning
136,58063,113773.6,Lower-Middle,Utilities,Average,549,Active Loan,0,Transaction was fast and smooth,General Feedback,POS,Lagos,Night
137,34045,96745.82,Lower-Middle,Entertainment,Average,599,No Loan,3574169.39,The interface is confusing,Loan Issue,Web,Kano,Morning
138,30557,116589.99,Low,Education,Good,660,Active Loan,0,Charges are confusing and unclear,General Feedback,POS,Abuja,Night
139,58334,249223.55,Lower-Middle,Groceries,Good,519,Active Loan,0,Transaction was fast and smooth,Technical Issue,Web,Abuja,Afternoon
140,63638,20000,Lower-Middle,Transport,Good,547,Default Risk,0,Transaction was fast and smooth,None,Web,Abuja,Evening
141,66385,181553.57,Middle,Savings Deposit,Average,641,Active Loan,2637272.81,The service is excellent,Technical Issue,USSD,Lagos,Night
142,31726,101616.08,Low,Online Shopping,Good,551,No Loan,0,Loan process takes too long,Technical Issue,Mobile App,Port Harcourt,Morning
143,48086,290652.76,Low,Utilities,Good,553,No Loan,0,Transaction was fast and smooth,Technical Issue,USSD,Kano,Evening
144,96568,199679.13,Lower-Middle,Groceries,Good,582,No Loan,1150459.76,Charges are confusing and unclear,None,POS,Port Harcourt,Evening
145,22151,88874.94,Lower-Middle,Savings Deposit,Good,609,,3565712.05,I need better support,Charges Issue,USSD,Enugu,Night
146,28378,113355.04,Lower-Middle,Utilities,Poor,537,,2300493.09,Very satisfied with the platform,None,POS,Lagos,Night
147,51420,115804.15,Lower-Middle,Groceries,Poor,589,,2976126.4,Customer service is slow to respond,None,Mobile App,Abuja,Afternoon
148,27898,219039.48,Lower-Middle,Utilities,Good,519,Active Loan,0,The service is excellent,Charges Issue,Mobile App,Ibadan,Afternoon
149,46999,251668.04,Lower-Middle,Education,Average,768,No Loan,4177937.63,App keeps crashing during payments,None,POS,Kaduna,Morning
150,57885,159217.05,Lower-Middle,Education,Poor,599,Active Loan,4556419.9,Overall experience is great,General Feedback,Mobile App,Enugu,Afternoon
151,44220,141406.74,Low,Savings Deposit,Average,569,No Loan,0,Very satisfied with the platform,None,Mobile App,Kaduna,Evening
152,76299,212624.7,Middle,Entertainment,Average,691,No Loan,1874797.82,I need better support,None,Web,Ibadan,Night
153,70673,151641.68,Low,Rent,Poor,576,No Loan,0,Overall experience is great,None,USSD,Kaduna,Morning
154,81415,178077.35,Lower-Middle,Savings Deposit,Average,739,No Loan,2089457.89,Charges are confusing and unclear,Technical Issue,POS,Port Harcourt,Evening
155,58809,163278.24,Middle,Online Shopping,Average,535,No Loan,0,Loan process takes too long,None,Mobile App,Kaduna,Afternoon
156,11230,102704.47,Middle,Utilities,Average,426,No Loan,0,Loan process takes too long,Charges Issue,USSD,Enugu,Evening
157,57575,231795.78,Lower-Middle,Savings Deposit,Average,541,No Loan,0,Transaction was fast and smooth,General Feedback,USSD,Port Harcourt,Night
158,47439,114488.43,Middle,Health,Poor,788,No Loan,3548179.85,The interface is confusing,Charges Issue,Mobile App,Abuja,Afternoon
159,84209,266267.95,Lower-Middle,Transport,Average,688,No Loan,0,App keeps crashing during payments,Technical Issue,POS,Enugu,Afternoon
160,28947,220811.03,Lower-Middle,Utilities,Good,692,No Loan,2877000.17,Very satisfied with the platform,General Feedback,Web,Ibadan,Afternoon
161,18209,161622.05,Low,Transport,Average,568,No Loan,1356373.34,Very satisfied with the platform,Loan Issue,POS,Enugu,Night
162,56168,75372.86,Low,Entertainment,Poor,625,No Loan,0,Very satisfied with the platform,General Feedback,Mobile App,Abuja,Morning
163,29671,250549.63,Low,Rent,Good,675,No Loan,0,Transaction was fast and smooth,General Feedback,POS,Lagos,Evening
164,88021,168922.69,Low,Online Shopping,Good,473,No Loan,2357525.16,The interface is confusing,General Feedback,USSD,Kano,Morning
165,20802,203614.14,Lower-Middle,Groceries,Average,571,Active Loan,0,I don't understand my loan deductions,General Feedback,USSD,Ibadan,Afternoon
166,23442,238616.12,Low,Utilities,Average,668,Default Risk,4207354.39,Customer service is slow to respond,General Feedback,USSD,Ibadan,Evening
167,65954,82799.84,Low,Rent,Average,674,No Loan,0,App keeps crashing during payments,General Feedback,POS,Kano,Evening
168,40510,171817.83,Lower-Middle,Transport,Good,737,Default Risk,208775.41,Very satisfied with the platform,None,POS,Kano,Afternoon
169,84659,127384.43,Middle,Education,Good,559,Active Loan,0,Customer service is slow to respond,General Feedback,Web,Abuja,Evening
170,48418,169169.33,Upper-Middle,Online Shopping,Average,613,No Loan,0,Payment failed multiple times,Loan Issue,USSD,Ibadan,Evening
171,86251,177427.61,Lower-Middle,Transport,Good,850,No Loan,3947263.53,Loan process takes too long,Loan Issue,POS,Abuja,Night
172,22214,50185.57,Low,Groceries,Good,602,No Loan,0,Payment failed multiple times,General Feedback,Web,Ibadan,Evening
173,46937,136315.23,Lower-Middle,Transport,Poor,733,No Loan,3191547.14,I don't understand my loan deductions,Technical Issue,Mobile App,Lagos,Night
174,90849,155378.95,Lower-Middle,Utilities,Good,664,Default Risk,0,Loan process takes too long,Charges Issue,Web,Ibadan,Evening
175,29006,74860.5,Lower-Middle,Savings Deposit,Average,515,No Loan,1706340.76,The interface is confusing,Charges Issue,USSD,Kano,Morning
176,28115,105879.15,Lower-Middle,Health,Poor,722,Active Loan,0,,Technical Issue,Mobile App,Kano,Afternoon
177,60827,157478.09,Upper-Middle,Education,Average,472,Active Loan,0,,None,Mobile App,Kano,Night
178,53100,191174.56,Low,Health,Average,515,No Loan,4441018.98,,Charges Issue,USSD,Enugu,Morning
179,57738,141197.76,High,Entertainment,Average,764,No Loan,612956.6,App keeps crashing during payments,None,POS,Abuja,Morning
180,58315,108072.87,Low,Entertainment,Average,696,No Loan,0,Charges are confusing and unclear,Charges Issue,USSD,Lagos,Night
181,94763,89749.73,Upper-Middle,Entertainment,Poor,599,No Loan,0,The interface is confusing,Technical Issue,Web,Kano,Night
182,92361,128563.72,Middle,Groceries,Average,699,No Loan,4470574.42,Transaction was fast and smooth,General Feedback,POS,Kano,Night
183,14718,102058.63,Low,Education,Poor,711,No Loan,0,Very satisfied with the platform,None,Web,Kano,Night
184,21771,185718.95,Lower-Middle,Rent,Good,539,No Loan,4720111.74,I need better support,None,POS,Port Harcourt,Evening
185,96275,165179.95,High,Online Shopping,Good,416,No Loan,228602.5,Charges are confusing and unclear,Technical Issue,USSD,Ibadan,Night
186,15731,110984.65,Middle,Transport,Poor,683,No Loan,0,The service is excellent,General Feedback,POS,Enugu,Afternoon
187,20958,163681.51,Lower-Middle,Entertainment,Poor,620,No Loan,1803769.03,Overall experience is great,Charges Issue,Mobile App,Ibadan,Night
188,64613,289827.81,Middle,Groceries,Poor,568,No Loan,1500871.71,Very satisfied with the platform,Technical Issue,POS,Port Harcourt,Evening
189,70347,195142.01,High,Rent,Poor,527,Active Loan,3030216.21,Loan process takes too long,General Feedback,POS,Lagos,Night
190,62726,165279.26,Lower-Middle,Transport,Good,581,No Loan,0,Very satisfied with the platform,Technical Issue,Web,Kaduna,Evening
191,69824,193027.56,Middle,Education,Poor,621,No Loan,0,Customer service is slow to respond,Technical Issue,USSD,Enugu,Evening
192,19528,225854.86,Middle,Education,Poor,610,No Loan,2993903.7,I don't understand my loan deductions,Technical Issue,POS,Lagos,Night
193,25319,58718.96,Low,Health,Average,464,Active Loan,0,Transaction was fast and smooth,General Feedback,Mobile App,Ibadan,Evening
194,35431,124432.83,High,Health,Average,668,No Loan,0,I need better support,Technical Issue,Mobile App,Port Harcourt,Morning
195,26996,112974.28,Lower-Middle,Entertainment,Average,626,No Loan,1677267.17,Charges are confusing and unclear,General Feedback,POS,Kaduna,Evening
196,79957,111258.99,Lower-Middle,Transport,Poor,527,Active Loan,366231.81,Payment failed multiple times,None,USSD,Abuja,Morning
197,66432,276856.69,Upper-Middle,Utilities,Good,536,No Loan,0,Customer service is slow to respond,None,Web,Kaduna,Afternoon
198,20552,180616.98,Middle,Online Shopping,Poor,709,Active Loan,0,Customer service is slow to respond,None,Web,Port Harcourt,Evening
199,37196,216947.98,Lower-Middle,Savings Deposit,Good,633,No Loan,3452773.72,I need better support,Charges Issue,Web,Kaduna,Night
200,24985,167935.94,Lower-Middle,Education,Average,531,No Loan,2598718.62,Very satisfied with the platform,None,Mobile App,Ibadan,Night
201,72437,315171.86,Low,Groceries,Good,548,No Loan,0,The service is excellent,General Feedback,USSD,Enugu,Evening
202,80725,29397.68,Lower-Middle,Savings Deposit,Poor,524,No Loan,3092490.74,I don't understand my loan deductions,None,Mobile App,Ibadan,Morning
203,54425,120936.91,Low,Utilities,Good,656,No Loan,0,Payment failed multiple times,None,USSD,Lagos,Evening
204,81196,123562.72,Low,Health,Average,604,No Loan,0,Transaction was fast and smooth,Charges Issue,USSD,Enugu,Night
205,88146,129072.39,High,Education,,695,Active Loan,374477.24,Payment failed multiple times,Loan Issue,Web,Lagos,Evening
206,70426,204870.11,Low,Online Shopping,,605,No Loan,2843762.79,The service is excellent,None,Web,Ibadan,Morning
207,52724,155412.27,Low,Utilities,Average,442,Default Risk,4226322.3,Very satisfied with the platform,Technical Issue,Web,Kano,Morning
208,60947,189032.03,Low,Rent,Good,708,Active Loan,2153035.58,Customer service is slow to respond,Technical Issue,Mobile App,Abuja,Afternoon
209,69312,212538.48,Middle,Savings Deposit,Average,647,No Loan,0,Charges are confusing and unclear,General Feedback,Mobile App,Port Harcourt,Night
210,58899,163524.48,Upper-Middle,Entertainment,Poor,661,No Loan,0,Very satisfied with the platform,Technical Issue,Mobile App,Ibadan,Afternoon
211,27115,193711.68,Lower-Middle,Utilities,Average,627,Default Risk,0,Loan process takes too long,Technical Issue,USSD,Port Harcourt,Night
212,40391,123585.34,Upper-Middle,Transport,Average,704,Default Risk,722031.93,Loan process takes too long,General Feedback,POS,Kaduna,Morning
213,62517,111307.33,Middle,Groceries,Good,584,No Loan,4884051.87,Charges are confusing and unclear,None,USSD,Enugu,Evening
214,47719,96827.97,Low,Education,Average,596,Default Risk,0,Payment failed multiple times,Technical Issue,Mobile App,Enugu,Evening
215,24165,155064.48,Middle,Savings Deposit,Average,730,Active Loan,0,Very satisfied with the platform,None,USSD,Port Harcourt,Evening
216,22953,92751.53,Middle,Education,Average,476,Active Loan,0,Customer service is slow to respond,General Feedback,POS,Ibadan,Morning
217,90273,85802.96,Lower-Middle,Online Shopping,Good,672,No Loan,0,Transaction was fast and smooth,General Feedback,POS,Kaduna,Night
218,80842,189084.52,Middle,Groceries,Poor,697,No Loan,0,Customer service is slow to respond,Technical Issue,POS,Abuja,Night
